Rank,Value Rating,Model,MSRP,Signature,Comments,Tone Grade,Technical Grade,Driver Type
B-,0,Aroma Witch Girl S,900,Warm,Pretty good technicalities but with a rather generic tuning.,C+,B+,5BA
B-,0,FiR VxV,1000,Mild V-shape,Interested coloured take on a neutral reference signature. A little uneven in the mids.,C+,B+,4BA 1DD
B-,0,Sennheiser IE800S,1200,Warm,Very subtle refinement to the original IE800.,C+,B+,DD
B-,0,Campfire Solaris (SE),1500,"""Balanced""",Coherent and well balanced hybrid though with slight midrange hollowness.,C+,B+,3BA 1DD
B-,0,FitEar Private 333,1500,Bright,Very exciting and sharp signature. Fatiguing and not for everyone.,C+,B+,3BA
B-,0,Dita Dream XLS,1850,Neutral,"Standard Dita house sound with a non-standard bass roll-off. Decent, not amazing.",C+,B+,DD
B-,0,Unique Melody Maven,2000,V-shaped,"Decently resolving, decent tonality; not bad, not amazing.",C+,B+,11BA
B-,0,Aroma Witch Girl W12,3150,Warm V-shape,"Warm response balanced out by a sparkly treble emphasis; good technicalities, if a little narrow-sounding.",C+,B+,12BA
B-,0,Tripowin x HBB Olina SE,Discont.,Mild V-shape,,B+,C+,DD
B-,0,Unique Melody Macbeth Ti,700,U-shaped,,B+,C+,1BA 1DD
B-,0,64 Audio A4t,1000,Neutral with bass boost,Good tonal balance but lacking in definition and low-level detailing,B+,C+,4BA
B-,0,Acoustune HS1697,1150,V-shaped,A little wonkier than your average Acoustune but still retains the signature V-shape.,C,A-,DD
B-,0,Campfire Ara,1300,Bright neutral,"Very resolving set of IEMs, triggers the ""uncanny valley"" effect with its tuning.",C,A-,7BA
B-,0,Jomo Tango,1400,V-shaped,Deep V-shape signature with a warm tilt; good technicalities.,C,A-,6BA
B-,0,Dita Perpetua,3000,"""Balanced""",,C,A-,DD
B-,0,Aroma Ace,3700,Neutral,Really odd take on neutrality. Not the worst... but it's not natural by any means.,C,A-,12BA
B-,0,DUNU Titan 1,Discont.,Bright,"Bright, almost DF-ish in tonality. Shouty but with open imaging and decent detail.",B-,B-,DD
B-,0,Audio Technica ATH-LS200,Discont.,Neutral,Somewhat Diffuse-Field neutral with its own quirks. Good technical ability.,B-,B-,2BA
B-,0,Fearless S5H,330,V-shaped,"Similar if not identical to the S4, though with a little less upper mids.",B-,B-,5BA
B-,0,Sennheiser IE400 Pro,350,V-shaped,Heavy bass boost balanced out by good treble energy along with decent midrange tonality.,B-,B-,DD
B-,0,XENNS Mangird Tea 2,350,Neutral with bass boost,,B-,B-,6BA 1DD
B-,0,InEar StageDiver SD-2,400,Neutral,"As with most GQ setups: well-balanced, excellent tuning and decent technical ability.",B-,B-,2BA
B-,0,FiiO FA9,450,Neutral,More of a downslope-neutral kind of tonality. A bit above average as far as technical performance goes.,B-,B-,6BA
B-,0,Oriveti OH500,500,V-shaped,More similar than different to the OH300. Non-offensive tuning with decent technicalities.,B-,B-,4BA 1DD
B-,0,Kinera Skuld,550,Neutral,,B-,B-,5BA
B-,0,ARC Oculus,570,Warm,"Relaxing, warm signature with sub-par resolving ability.",B-,B-,3BA
B-,0,Ultimate Ears UE6 Pro,700,"""Balanced""",A capable hybrid with little weaknesses.,B-,B-,1BA 2DD
B-,0,TRI Starlight,800,U-shaped,Painful sibilance due to uncontrolled upper treble.,B-,B-,4EST 2BA 1DD
B-,0,Colorfly Quintet,900,Mild V-shape,,B-,B-,4BA 1DD
B-,0,Clear Tune Monitors CT-6E,1000,Neutral,"Good, well-balanced tonality though falls apart from the treble upwards.",B-,B-,6BA
B-,0,Stealthsonics U9 JDM,1100,Neutral with bass boost,Does away with the timbre issues of the standard U9.,B-,B-,8BA 1DD
B-,0,Meze Rai Penta,1100,Warm V-shape,Pleasing tonality with subpar technical ability.,B-,B-,4BA 1DD
B-,0,Elysian Cora (2019),1230,Neutral with bass boost,A decent hybrid weird slightly odd midrange tonality.,B-,B-,4BA 1DD
B-,0,FitEar TG334,1400,Dark,Like the MH334 with quite a bit less treble,B-,B-,4BA
B-,0,Rhapsodio Solar,1550,Mild V-shape,An all-rounder to a fault. Truly a master of none.,B-,B-,10BA
B-,0,FitEar MH334,1900,Warm,"Perfect for female vocals, but otherwise quite coloured",B-,B-,4BA
B-,0,Aure Elixir,2000,Mild V-shape,Sort of wonky-but-not tonality that reminds me of some of Audiosense's weird IEMs.,B-,B-,3BA 1DD
B-,0,Soranik Bastille Signature,?,V-shaped,"Upper-mid and sub-bass forward, mids are scooped and can get hollow.",B-,B-,4BA 1DD
B+,3,Etymotic ER2SE/ER2XR,110,Neutral,"Slightly less detailed than the ER4, but without the usual BA timbre.",A,B+,DD
B+,3,Truthear Hexa,80,Neutral,,A+,B,3BA 1DD
B+,2,Moondrop Kato,190,Mild V-shape,,A,B+,DD
B+,2,Samsung Galaxy Buds2 Pro,230,U-shaped,A less shouty interpretation of Harman with the same controlled yet impactful bass response.,S-,B,2DD
B+,2,AKG N400,155,U-shaped,Does away with the timbral issues of the Buds+ and sets itself as a superior.,A+,B,DD
B+,2,Samsung Galaxy Buds Pro,200,Warm V-shape,"More lower mids than your average Harman-tuned IEM, but works in its favour by being more pleasant.",A+,B,2DD
B+,2,Apple AirPods Pro 2,250,Mild V-shape,"A more exciting sound signature in comparison to its predecessor, with little in terms of drawbacks.",A+,B,DD
B+,2,Softears Volume,285,Mild V-shape,,A+,B,2BA 1DD
B+,2,Etymotic ER3SE/ER3XR,160,Warm neutral,An ER4 with a bit less treble and upper extension.,A-,B+,BA
B+,2,Unique Melody 2HT “Terminator”,200,U-shaped,Tonality almost reminds me of a HYLA hybrid. Well tuned with strong technical performance.,B+,B+,1BA 1DD
B+,1,qdc 4SS,700,Neutral,"High clarity, high resolution reference-type monitor with spot-on tone.",B+,A,4BA
B+,1,Fearless S8Z,590,Warm neutral,"Solid all-rounder with a safe, pleasing tuning.",A,B+,8BA
B+,1,Clariar i430,600,Mild V-shape,,A,B+,4BA
B+,1,Fatfreq Maestro Mini,450,Neutral with bass boost,,A+,B,2BA 1DD
B+,1,MiM Dark Magician,500,Neutral,,A-,B+,DD
B+,1,iBasso AM05,300,Neutral,"Well-balanced tonality, slightly tilted towards brightness. Probably the best iBasso IEM yet.",B+,B+,5BA
B+,1,Fearless S6Pro,390,Neutral,Technical tuning with very forward detailing.,B+,B+,6BA
B+,0,HYLA CE-5,915,U-shaped,Probably the best bass response I've ever heard. Thin-ish midrange that sounds unnatural on certain instruments.,B+,A,1Piezo 2BA 1DD
B+,0,HYLA Sarda,1250,U-shaped,"Standard ""HYLA"" house sound, doesn't do much different from the CE-5 and TE-5B.",B+,A,1Piezo 2BA 1DD
B+,0,HYLA TE-5B,1300,U-shaped,Similar to the CE-5 though ever-so-slightly thinner in the midrange.,B+,A,1Piezo 2BA 1DD
B+,0,qdc 8SH,1450,Mild V-shape,"Tonally, a slightly wonkier variation of the top-tier qdc IEMs.",B+,A,8BA
B+,0,qdc Tiger,1500,Mild V-shape,,B+,A,2EST 6BA
B+,0,Jomo Trinity SS,2800,V-shaped,"Highly detailed, well separated imaging though severely lacking in treble extension.",B+,A,2EST 4BA 1DD
B+,0,Unique Melody Mason V3+,3200,Bright neutral,"Decent resolution, nothing really special otherwise.",B+,A,16BA
B+,0,Tanchjim Oxygen,Discont.,Mild V-shape,One of the best-tuned DDs tuned somewhat to Harman. Defined and detailed.,A,B+,DD
B+,0,Clariar i640,1200,V-shaped,,A,B+,6BA
B+,0,Fatfreq Maestro SE,1900,Neutral with bass boost,,A,B+,
B+,0,Sennheiser IE900,1300,U-shaped,"Well-resolving DD IEM with excellent treble control, though with somewhat weak mid-high harmonics.",B,A+,DD
B+,0,Noble Khan,2300,U-shaped,"Clean yet lean, solid low-end rumble but treble get splashy. Technical but lacking naturalness.",B,A+,1Piezo 4BA 1DD
B+,0,Noble Kublai Khan,2600,U-shaped,,B,A+,1Piezo 1BC 4BA 1DD
B+,0,Gaudio Nair,862,Neutral,Well-tuned neutral monitor bottlenecked by timbre and resolution.,A+,B,3BA
B+,0,Unique Melody MEXT,1100,U-shaped,,B+,A-,1BC 4BA 1DD
B+,0,Ultimate Ears Reference Remastered (UERR),1000,Neutral with laid-back treble,Warm with good tonality. Good all-rounder albeit definitely not a reference signature.,B+,A-,3BA
B+,0,Vision Ears VE7,1300,Warm neutral,Fairly inoffensive tuning with solid technicalities.,B+,A-,7BA
B+,0,Unique Melody MEST,1400,Neutral with bass boost,"A smooth, relaxing listen (in custom form) backed up with good technicalities.",B+,A-,1BC 2EST 4BA 1DD
B+,0,Unique Melody MEST Mk2,1500,Neutral with bass boost,"Pretty much the same as the Mk1, though with extra sub-bass presence.",B+,A-,1BC 2EST 4BA 1DD
B+,0,Elysian Hades V2,1550,Variable,Upper-mid forward signature with intense upper treble response.,B+,A-,6BA
B+,0,Elysian Terminator V2,2500,V-shaped,"A more intense, upper-mid forward Terminator V1 with the same level of technical ability.",B+,A-,8BA
B+,0,Elysian Terminator,Discont.,Warm V-shape,Well rounded smooth signature that doesn't offend.,B+,A-,8BA
B+,0,DUNU DK-3001 Pro,Discont.,Warm neutral,Well-tuned and coherent. Does little wrong and very easy to like.,A-,B+,3BA 1DD
B+,0,FAudio Dark Sky,1100,V-shaped,,A-,B+,DD
B+,0,DUNU x Z Reviews SA6 Ultra,Discont.,U-shaped,,B,A,6BA
B+,0,Hidition NT6 Pro,1100,Neutral with bass boost,A V-shaped version of the NT6. The change in tuning kills the technical ability slightly,B,A,6BA
B+,0,64 Audio A18S,3000,Warm neutral,Warning: the demo unit does not sound like the custom. Demos are sub-bass focused while customs are warm.,B,A,18BA
B+,0,InEar Prophile-8,1600,Neutral,"Very ""studio"" like sound, heavy priority on technicalities if a little dead-sounding.",A,B,8BA
B+,0,Fatfreq Maestro,Discont.,U-shaped,,A,B,
B+,0,Audeze Euclid,1300,Mild V-shape,Certainly far better tuned than its predecessors with the same excellent technicalities.,B-,S-,Planar
B+,0,Jomo Flamenco,2200,Warm neutral,Tuned to be more pleasing and tonally accurate compared to the old Flamenco at the cost of sheer detail.,B-,A+,11BA
B+,0,iBasso IT04,Discont.,U-shaped,A nice improvement over the IT03 though midrange hollowness still exists.,B+,B+,3BA 1DD
B+,0,JQ Hua Jiang,750,Neutral with bass boost,"Somewhat subdued and ""safe"" tuning with decent resolving ability.",B+,B+,2EST 6BA 1DD
B+,0,Oriolus MK2,1100,V-shaped,Lively yet non-fatiguing hybrid experience.,B+,B+,3BA 1DD
B+,0,FiR M3,1200,Warm neutral,"Interesting tubeless technology, though the imaging improvements are minimal.",B+,B+,2BA 1DD
B+,0,64 Audio N8,1700,Bassy,"Sub-bass focus, rich and smooth yet relatively neutral in tone.",B+,B+,8BA 1DD
B+,0,FiR M4,1900,Warm neutral,Too similar to the M3 to be worth the price markup.,B+,B+,3BA 1DD
B+,0,FitEar MH334SR,2000,Warm neutral,A MH334 with more treble extension and more opened imaging.,B+,B+,4BA
B+,0,FiR M5,2800,Warm V-shape,Warmer than the M3 and M4 with lower resolution.,B+,B+,1EST 3BA 1DD
B+,0,Empire Ears Legend EVO,3100,Bassy,,B+,B+,5BA 2DD 1BC
B+,0,Mofasest M14,Discont.,Neutral with bass boost,"Essentially a more tonally ""correct"" version of the ThieAudio V14.",B+,B+,14BA
S-,2,ThieAudio Monarch Mk2,1000,Neutral with bass boost,,S+,A+,2EST 6BA 1DD
S-,2,"Hidition Viento
(B-mode, custom)",950,Variable,Best-in-class tuning and tonal balance with near-perfect coherency. Recommended as a custom-fit.,S+,A+,4BA
S-,1,Elysian Annihilator (2021),3700,U-shaped,,S-,S,2EST 4BA 1DD
